,price,Style,Colour,Screen Size,Special Feature,Target Audience,Shape
0,1799.0,Modern,Black,1.83 ,bluetooth,"Unisex Teen, Unisex Adult",square
1,1799.0,Modern,Black,1.3 ,bluetooth,"Unisex Teen, Unisex Adult",square
2,1449.0,Modern,Black,1.69 ,bluetooth,"Unisex Teen, Unisex Adult",square
3,1299.0,Modern,Black,1.69 ,bluetooth,"Unisex Teen, Unisex Adult",square
4,1799.0,Modern,Pink,1.83 ,bluetooth,"Unisex Teen, Unisex Adult",square
5,1299.0,Modern,Green,1.69 ,bluetooth,"Unisex Teen, Unisex Adult",square
6,1999.0,Modern,Black,1.28 ,bluetooth,"Unisex Teen, Unisex Adult",square
7,2999.0,Modern,Black,1.96 ,bluetooth,"Unisex Teen, Unisex Adult",square
8,1799.0,Modern,Silver Grey,1.3 ,bluetooth,"Unisex Teen, Unisex Adult",square
9,1799.0,Modern,Navy Blue,1.83 ,bluetooth,"Unisex Teen, Unisex Adult",square
10,1799.0,Modern,Rose Gold,1.3 ,bluetooth,"Unisex Teen, Unisex Adult",square
11,4999.0,Modern,Black,1.6 ,bluetooth,"Unisex Teen, Unisex Adult",round
12,11472.784594095941,Modern,Black,1.78 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
13,3799.0,Modern,Black,1.78 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
14,2499.0,Strap,Black,1.7 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
15,1999.0,Modern,Rose Golden,1.69 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
16,1799.0,Modern,Grey,1.83 ,"bluetooth,ai assistant","Unisex Teen, Unisex Adult",sqaure
17,3799.0,Modern,Dark Grey,1.78 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
18,1399.0,Modern,Black,1.83 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
19,2998.0,Modern,Black,1.8 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
