,price,Style,Colour,Screen Size,Special Feature,Target Audience,Shape
0,1799.0,Modern,142,33,317,,11
1,1799.0,Modern,142,35,317,,11
2,1449.0,Modern,142,186,317,,11
3,1299.0,Modern,142,186,317,,11
4,1799.0,Modern,30,33,317,,11
5,1299.0,Modern,14,186,317,,11
6,1999.0,Modern,142,13,317,,11
7,2999.0,Modern,142,8,317,,11
8,1799.0,Modern,11,35,317,,11
9,1799.0,Modern,5,33,317,,11
10,1799.0,Modern,7,35,317,,11
11,4999.0,Modern,142,7,317,,4
12,11472.78459409594,Modern,142,27,317,,419
13,3799.0,Modern,142,27,317,,419
14,2499.0,Strap,142,6,317,,419
15,1999.0,Modern,5,186,317,,419
16,1799.0,Modern,32,33,1,,419
17,3799.0,Modern,5,27,317,,419
18,1399.0,Modern,142,33,317,,419
19,2998.0,Modern,142,18,317,,419
20,1999.0,Modern,11,13,317,,419
21,1299.0,Modern,32,186,317,,419
22,1999.0,Modern,142,186,317,,419
23,1799.0,Modern,6,33,317,,419
24,4999.0,Modern,142,7,317,,419
25,1799.0,Modern,142,35,317,,419
26,1799.0,Modern,32,33,317,,419
27,1799.0,Modern,142,33,317,,419
28,1449.0,Modern,142,186,317,,419
29,1299.0,Modern,142,186,317,,419
30,1799.0,Modern,30,33,317,,419
31,1299.0,Modern,14,186,317,,419
32,1999.0,Modern,142,13,317,,419
33,2999.0,Modern,142,8,317,,419
34,1799.0,Modern,11,35,317,,419
35,3799.0,Modern,14,27,317,,419
36,1799.0,Modern,5,33,317,,419
37,1799.0,Modern,7,35,317,,419
38,4999.0,Modern,142,7,317,,4
39,11472.78459409594,Modern,142,27,317,,419
40,3799.0,Modern,142,27,317,,419
41,2499.0,Strap,142,6,317,,419
42,1999.0,Modern,5,186,317,,419
43,1799.0,Modern,32,33,317,,419
44,3799.0,Modern,5,27,317,,419
45,1399.0,Modern,142,33,317,,419
46,2998.0,Modern,142,18,317,,419
47,1999.0,Modern,11,13,317,,419
48,1299.0,Modern,32,186,317,,419
49,1999.0,Modern,142,186,317,,419
50,1799.0,Modern,6,33,317,,419
51,2999.0,Modern,3,18,317,,419
52,1799.0,Modern,142,33,317,,419
53,1799.0,Modern,142,35,317,,419
54,1799.0,Modern,142,186,317,,419
55,1299.0,ColorFit Pulse Grand,142,186,317,,419
56,2299.0,With Alexa,2,186,12,,419
57,4999.0,Modern,142,7,317,,419
58,1999.0,Modern,11,13,39,,419
59,1299.0,Modern,32,186,39,,419
60,1999.0,Modern,142,186,39,,419
61,1799.0,Modern,6,33,39,,419
